"","accession","added","ncbi_organism_name","ncbi_taxonomy","gtdb_taxonomy","gtdb_species_representative","ncbi_type_material"
"1","GCA_000168075.1","_ASM16807v1_genomic.fna","Shigella dysenteriae 1012","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Shigella; s__","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__Escherichia coli","False","False"
"2","GCA_000214745.2","_ASM21474v2_genomic.fna","Cronobacter sakazakii E899","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; s__Cronobacter sakazakii","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; s__Cronobacter sakazakii","False","False"
"3","GCA_000240805.2","_ASM24080v2_genomic.fna","Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035278","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__Salmonella enterica","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__Salmonella enterica","False","False"
"4","GCA_000250435.2","_ASM25043v2_genomic.fna","Escherichia coli DEC14B","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__Escherichia coli","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__Escherichia coli","False","False"
"5","GCA_000264705.1","_EntClo_1.0_genomic.fna","Enterobacter cloacae subsp. cloacae GS1","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__Enterobacter cloacae","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__Enterobacter hormaechei_A","False","False"
"6","GCA_000268105.1","_ASM26810v1_genomic.fna","Shigella dysenteriae 225-75","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Shigella; s__Shigella dysenteriae","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__Escherichia coli","False","False"
"7","GCA_000316155.1","_ASM31615v1_genomic.fna","Cronobacter sakazakii 696","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; s__Cronobacter sakazakii","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; s__Cronobacter sakazakii","False","False"
"8","GCA_000319535.1","_ASM31953v1_genomic.fna","Cronobacter malonaticus 681","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; s__Cronobacter malonaticus","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; s__Cronobacter malonaticus","False","False"
"9","GCA_000319555.1","_ASM31955v1_genomic.fna","Cronobacter malonaticus 507","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; s__Cronobacter malonaticus","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; s__Cronobacter malonaticus","False","False"
"10","GCA_000319595.1","_ASM31959v1_genomic.fna","Cronobacter sakazakii 701","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; s__Cronobacter sakazakii","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; s__Cronobacter sakazakii","False","False"
